My Little Pony: Equestria Girls - Rainbow Rocks	2014	9.0	27	0	0	0	0	0	0	[]
Alone in Berlin	2016	1.0	13	1.0	1.33333333333	1.66666666667	3.0	1	0.269841269841	[('04-10-2015', 1), ('11-10-2015', 1), ('18-10-2015', 2), ('25-10-2015', 1), ('01-11-2015', 1), ('08-11-2015', 1), ('15-11-2015', 1), ('22-11-2015', 1), ('29-11-2015', 3), ('06-12-2015', 1), ('13-12-2015', 4), ('20-12-2015', 2)]
Volkswagen Kuning	2016	9.0	22	1.0	1.33333333333	1.33333333333	7.0	2	0.865079365079	[('12-06-2016', 1), ('19-06-2016', 2), ('26-06-2016', 1), ('03-07-2016', 1), ('10-07-2016', 2), ('17-07-2016', 2), ('24-07-2016', 1), ('31-07-2016', 1), ('07-08-2016', 2), ('14-08-2016', 1), ('21-08-2016', 4), ('28-08-2016', 10)]
Akira	2016	5.0	6	30.0	24.3333333333	24.3333333333	25.5	25	-0.0455810224486	[('24-01-2016', 30), ('31-01-2016', 25), ('07-02-2016', 24), ('14-02-2016', 25), ('21-02-2016', 24), ('28-02-2016', 23), ('06-03-2016', 24), ('13-03-2016', 24), ('20-03-2016', 25), ('27-03-2016', 25), ('03-04-2016', 26), ('10-04-2016', 25)]
Sunday Beauty Queen	2016	10.0	7	1.0	1.0	1.0	0.0	0	-0.166666666667	[('26-06-2016', 1), ('03-07-2016', 0), ('10-07-2016', 2), ('17-07-2016', 1), ('24-07-2016', 0), ('31-07-2016', 2), ('07-08-2016', 1), ('14-08-2016', 1), ('21-08-2016', 1), ('28-08-2016', 1), ('04-09-2016', 0), ('11-09-2016', 0)]
Ordinary World	2016	10.0	14	12.0	14.6666666667	19.0	37.0	19	0.460574649936	[('03-07-2016', 12), ('10-07-2016', 15), ('17-07-2016', 16), ('24-07-2016', 14), ('31-07-2016', 14), ('07-08-2016', 14), ('14-08-2016', 14), ('21-08-2016', 16), ('28-08-2016', 27), ('04-09-2016', 20), ('11-09-2016', 42), ('18-09-2016', 32)]
Lock	2016	10.0	14	93.0	96.3333333333	96.3333333333	100.0	96	0.0243774085948	[('03-07-2016', 93), ('10-07-2016', 93), ('17-07-2016', 96), ('24-07-2016', 96), ('31-07-2016', 97), ('07-08-2016', 94), ('14-08-2016', 96), ('21-08-2016', 97), ('28-08-2016', 96), ('04-09-2016', 95), ('11-09-2016', 100), ('18-09-2016', 100)]
Warkop DKI Reborn: Jangkrik Boss Part 1	2016	9.0	8	0.0	0.666666666667	0.666666666667	2.5	1	0.588888888889	[('29-05-2016', 0), ('05-06-2016', 0), ('12-06-2016', 0), ('19-06-2016', 0), ('26-06-2016', 2), ('03-07-2016', 0), ('10-07-2016', 0), ('17-07-2016', 0), ('24-07-2016', 2), ('31-07-2016', 3), ('07-08-2016', 3), ('14-08-2016', 2)]
War Room	2015	8.0	28	2.0	1.66666666667	2.0	3.5	2	0.171296296296	[('17-05-2015', 2), ('24-05-2015', 1), ('31-05-2015', 1), ('07-06-2015', 2), ('14-06-2015', 2), ('21-06-2015', 2), ('28-06-2015', 2), ('05-07-2015', 2), ('12-07-2015', 2), ('19-07-2015', 3), ('26-07-2015', 3), ('02-08-2015', 4)]
La Chasse au Collet	2016	10.0	10	0.0	0.0	0.0	13.0	2	4.33333333333	[('03-07-2016', 0), ('10-07-2016', 0), ('17-07-2016', 0), ('24-07-2016', 0), ('31-07-2016', 0), ('07-08-2016', 0), ('14-08-2016', 0), ('21-08-2016', 0), ('28-08-2016', 0), ('04-09-2016', 0), ('11-09-2016', 0), ('18-09-2016', 26)]
