Inside Job	2016	6.0	4	36.0	37.6666666667	33.3333333333	36.0	35	0.00354866081347	[('13-03-2016', 36), ('20-03-2016', 37), ('27-03-2016', 38), ('03-04-2016', 39), ('10-04-2016', 36), ('17-04-2016', 37), ('24-04-2016', 36), ('01-05-2016', 34), ('08-05-2016', 30), ('15-05-2016', 35), ('22-05-2016', 38), ('29-05-2016', 34)]
My Little Pony: Equestria Girls - Rainbow Rocks	2014	9.0	27	0	0	0	0	0	0	[]
Alone in Berlin	2016	1.0	13	2.0	1.33333333333	2.33333333333	2.0	1	0.0354497354497	[('25-10-2015', 2), ('01-11-2015', 2), ('08-11-2015', 1), ('15-11-2015', 1), ('22-11-2015', 2), ('29-11-2015', 2), ('06-12-2015', 3), ('13-12-2015', 2), ('20-12-2015', 2), ('27-12-2015', 2), ('03-01-2016', 2), ('10-01-2016', 2)]
Volkswagen Kuning	2016	9.0	22	0.0	0.666666666667	5.66666666667	38.0	9	2.83888888889	[('03-07-2016', 0), ('10-07-2016', 2), ('17-07-2016', 1), ('24-07-2016', 1), ('31-07-2016', 0), ('07-08-2016', 2), ('14-08-2016', 1), ('21-08-2016', 3), ('28-08-2016', 13), ('04-09-2016', 9), ('11-09-2016', 27), ('18-09-2016', 49)]
Akira	2016	5.0	6	25.0	24.0	25.6666666667	25.0	24	0.00106837606838	[('14-02-2016', 25), ('21-02-2016', 24), ('28-02-2016', 23), ('06-03-2016', 24), ('13-03-2016', 25), ('20-03-2016', 25), ('27-03-2016', 26), ('03-04-2016', 26), ('10-04-2016', 25), ('17-04-2016', 25), ('24-04-2016', 24), ('01-05-2016', 26)]
Sunday Beauty Queen	2016	10.0	7	0.0	0.333333333333	0.333333333333	1.0	0	0.277777777778	[('17-07-2016', 0), ('24-07-2016', 0), ('31-07-2016', 1), ('07-08-2016', 0), ('14-08-2016', 0), ('21-08-2016', 0), ('28-08-2016', 0), ('04-09-2016', 0), ('11-09-2016', 1), ('18-09-2016', 0), ('25-09-2016', 2), ('02-10-2016', 0)]
Ordinary World	2016	10.0	14	11.0	14.6666666667	28.6666666667	68.5	29	0.847289735349	[('24-07-2016', 11), ('31-07-2016', 14), ('07-08-2016', 13), ('14-08-2016', 14), ('21-08-2016', 17), ('28-08-2016', 29), ('04-09-2016', 17), ('11-09-2016', 36), ('18-09-2016', 33), ('25-09-2016', 30), ('02-10-2016', 45), ('09-10-2016', 92)]
Lock	2016	10.0	14	95.0	94.3333333333	96.0	98.0	96	0.0103855432464	[('24-07-2016', 95), ('31-07-2016', 96), ('07-08-2016', 95), ('14-08-2016', 93), ('21-08-2016', 95), ('28-08-2016', 95), ('04-09-2016', 93), ('11-09-2016', 98), ('18-09-2016', 97), ('25-09-2016', 100), ('02-10-2016', 98), ('09-10-2016', 98)]
Warkop DKI Reborn: Jangkrik Boss Part 1	2016	9.0	8	0.0	0.0	3.33333333333	17.5	3	2.20085470085	[('19-06-2016', 0), ('26-06-2016', 0), ('03-07-2016', 0), ('10-07-2016', 0), ('17-07-2016', 0), ('24-07-2016', 0), ('31-07-2016', 2), ('07-08-2016', 4), ('14-08-2016', 4), ('21-08-2016', 0), ('28-08-2016', 6), ('04-09-2016', 29)]
War Room	2015	8.0	28	2.0	2.0	3.0	26.5	6	2.06944444444	[('07-06-2015', 2), ('14-06-2015', 2), ('21-06-2015', 2), ('28-06-2015', 2), ('05-07-2015', 2), ('12-07-2015', 2), ('19-07-2015', 2), ('26-07-2015', 3), ('02-08-2015', 4), ('09-08-2015', 6), ('16-08-2015', 10), ('23-08-2015', 43)]
La Chasse au Collet	2016	10.0	10	0.0	0.0	0.0	7.5	2	2.5	[('24-07-2016', 0), ('31-07-2016', 0), ('07-08-2016', 0), ('14-08-2016', 0), ('21-08-2016', 0), ('28-08-2016', 0), ('04-09-2016', 0), ('11-09-2016', 0), ('18-09-2016', 0), ('25-09-2016', 15), ('02-10-2016', 0), ('09-10-2016', 15)]
The Neon Demon	2016	6.0	24	2.0	7.0	19.3333333333	78.5	26	2.03938979964	[('03-04-2016', 2), ('10-04-2016', 20), ('17-04-2016', 11), ('24-04-2016', 4), ('01-05-2016', 6), ('08-05-2016', 12), ('15-05-2016', 25), ('22-05-2016', 16), ('29-05-2016', 17), ('05-06-2016', 44), ('12-06-2016', 57), ('19-06-2016', 100)]
It's All Good	2016	10.0	21	50.0	52.0	65.0	59.0	56	0.0645298714111	[('31-07-2016', 50), ('07-08-2016', 39), ('14-08-2016', 46), ('21-08-2016', 59), ('28-08-2016', 51), ('04-09-2016', 61), ('11-09-2016', 66), ('18-09-2016', 62), ('25-09-2016', 67), ('02-10-2016', 62), ('09-10-2016', 57), ('16-10-2016', 61)]
Colin Quinn: The New York Story	2016	11.0	18	0.0	5.0	14.3333333333	28.5	10	2.49315619968	[('28-08-2016', 0), ('04-09-2016', 0), ('11-09-2016', 0), ('18-09-2016', 15), ('25-09-2016', 0), ('02-10-2016', 0), ('09-10-2016', 15), ('16-10-2016', 14), ('23-10-2016', 14), ('30-10-2016', 14), ('06-11-2016', 14), ('13-11-2016', 43)]
Thomas & Friends: The Great Race	2016	9.0	13	42.0	25.6666666667	54.0	37.0	39	0.124521376556	[('26-06-2016', 42), ('03-07-2016', 18), ('10-07-2016', 25), ('17-07-2016', 0), ('24-07-2016', 52), ('31-07-2016', 51), ('07-08-2016', 69), ('14-08-2016', 34), ('21-08-2016', 59), ('28-08-2016', 49), ('04-09-2016', 49), ('11-09-2016', 25)]
The Reunion 3	2016	10.0	6	11.0	29.3333333333	15.0	11.0	18	0.268416768417	[('17-07-2016', 11), ('24-07-2016', 20), ('31-07-2016', 37), ('07-08-2016', 26), ('14-08-2016', 25), ('21-08-2016', 21), ('28-08-2016', 14), ('04-09-2016', 11), ('11-09-2016', 20), ('18-09-2016', 10), ('25-09-2016', 8), ('02-10-2016', 14)]
Kyle Kinane: Loose in Chicago	2016	10.0	15	0.0	0.0	0.0	0.0	0	0.0	[('24-07-2016', 0), ('31-07-2016', 0), ('07-08-2016', 0), ('14-08-2016', 0), ('21-08-2016', 0), ('28-08-2016', 0), ('04-09-2016', 0), ('11-09-2016', 0), ('18-09-2016', 0), ('25-09-2016', 0), ('02-10-2016', 0), ('09-10-2016', 0)]
Stephen Colbert's Live Election Night: Democracy's Series Finale - Who's Going to Clean Up This ****?	2016	11.0	8	0	0	0	0	0	0	[]
The Tick	2016	8.0	19	34.0	32.0	30.6666666667	50.0	35	0.170993139414	[('29-05-2016', 34), ('05-06-2016', 33), ('12-06-2016', 32), ('19-06-2016', 35), ('26-06-2016', 29), ('03-07-2016', 31), ('10-07-2016', 26), ('17-07-2016', 37), ('24-07-2016', 29), ('31-07-2016', 36), ('07-08-2016', 29), ('14-08-2016', 71)]
My Christmas Love	2016	12.0	17	2.0	2.33333333333	6.33333333333	25.0	8	1.28552188552	[('25-09-2016', 2), ('02-10-2016', 2), ('09-10-2016', 3), ('16-10-2016', 2), ('23-10-2016', 2), ('30-10-2016', 3), ('06-11-2016', 5), ('13-11-2016', 6), ('20-11-2016', 8), ('27-11-2016', 15), ('04-12-2016', 18), ('11-12-2016', 32)]
Fittest on Earth: The Story of the 2015 Reebok CrossFit Games	2016	2.0	23	0	0	0	0	0	0	[]
Nightmare Wedding	2016	11.0	19	13.0	23.3333333333	26.3333333333	22.0	24	0.234282107987	[('28-08-2016', 13), ('04-09-2016', 34), ('11-09-2016', 33), ('18-09-2016', 20), ('25-09-2016', 17), ('02-10-2016', 31), ('09-10-2016', 31), ('16-10-2016', 19), ('23-10-2016', 29), ('30-10-2016', 18), ('06-11-2016', 10), ('13-11-2016', 34)]
Boo! A Madea Halloween	2016	10.0	21	0.0	0.0	0.0	43.0	7	14.3333333333	[('31-07-2016', 0), ('07-08-2016', 0), ('14-08-2016', 0), ('21-08-2016', 0), ('28-08-2016', 0), ('04-09-2016', 0), ('11-09-2016', 0), ('18-09-2016', 0), ('25-09-2016', 0), ('02-10-2016', 0), ('09-10-2016', 1), ('16-10-2016', 85)]
Tears in the Rain	2017	1.0	31	14.0	21.0	17.6666666667	15.5	18	0.06636002886	[('13-11-2016', 14), ('20-11-2016', 24), ('27-11-2016', 20), ('04-12-2016', 23), ('11-12-2016', 20), ('18-12-2016', 26), ('25-12-2016', 15), ('01-01-2017', 23), ('08-01-2017', 15), ('15-01-2017', 15), ('22-01-2017', 15), ('29-01-2017', 16)]
The Falls: Covenant of Grace	2016	9.0	1	0.0	0.0	0.0	0.0	0	0.0	[('12-06-2016', 0), ('19-06-2016', 0), ('26-06-2016', 0), ('03-07-2016', 0), ('10-07-2016', 0), ('17-07-2016', 0), ('24-07-2016', 0), ('31-07-2016', 0), ('07-08-2016', 0), ('14-08-2016', 0), ('21-08-2016', 0), ('28-08-2016', 0)]
Gringo	2016	4.0	3	40.0	36.0	34.6666666667	32.0	35	-0.0694544555953	[('17-01-2016', 40), ('24-01-2016', 37), ('31-01-2016', 35), ('07-02-2016', 35), ('14-02-2016', 38), ('21-02-2016', 37), ('28-02-2016', 36), ('06-03-2016', 35), ('13-03-2016', 33), ('20-03-2016', 35), ('27-03-2016', 33), ('03-04-2016', 31)]
Kamikaze	2016	12.0	1	31.0	28.0	28.0	28.0	28	-0.03125	[('11-09-2016', 31), ('18-09-2016', 29), ('25-09-2016', 28), ('02-10-2016', 27), ('09-10-2016', 29), ('16-10-2016', 30), ('23-10-2016', 28), ('30-10-2016', 28), ('06-11-2016', 28), ('13-11-2016', 27), ('20-11-2016', 28), ('27-11-2016', 28)]
Dark Web	2016	3.0	8	20.0	20.0	24.0	20.0	21	0.0101587301587	[('20-12-2015', 20), ('27-12-2015', 18), ('03-01-2016', 20), ('10-01-2016', 18), ('17-01-2016', 22), ('24-01-2016', 22), ('31-01-2016', 21), ('07-02-2016', 29), ('14-02-2016', 22), ('21-02-2016', 21), ('28-02-2016', 21), ('06-03-2016', 19)]
David Bowie: The Last Five Years	2017	1.0	7	0.0	1.33333333333	0.333333333333	15.0	3	3.96825396825	[('16-10-2016', 0), ('23-10-2016', 0), ('30-10-2016', 2), ('06-11-2016', 2), ('13-11-2016', 0), ('20-11-2016', 0), ('27-11-2016', 0), ('04-12-2016', 0), ('11-12-2016', 1), ('18-12-2016', 2), ('25-12-2016', 2), ('01-01-2017', 28)]
The Intervention	2016	8.0	26	40.0	38.6666666667	42.0	63.0	43	0.179961793755	[('05-06-2016', 40), ('12-06-2016', 44), ('19-06-2016', 41), ('26-06-2016', 34), ('03-07-2016', 41), ('10-07-2016', 36), ('17-07-2016', 45), ('24-07-2016', 41), ('31-07-2016', 40), ('07-08-2016', 36), ('14-08-2016', 42), ('21-08-2016', 84)]
Dulha Mil Gaya	2016	7.0	23	21.0	36.6666666667	40.0	31.5	32	0.197766571391	[('01-05-2016', 21), ('08-05-2016', 28), ('15-05-2016', 33), ('22-05-2016', 46), ('29-05-2016', 31), ('05-06-2016', 40), ('12-06-2016', 53), ('19-06-2016', 37), ('26-06-2016', 30), ('03-07-2016', 8), ('10-07-2016', 27), ('17-07-2016', 36)]
Love	2015	10.0	30	80.0	78.3333333333	78.0	77.0	78	-0.0124786800692	[('09-08-2015', 80), ('16-08-2015', 81), ('23-08-2015', 78), ('30-08-2015', 78), ('06-09-2015', 79), ('13-09-2015', 77), ('20-09-2015', 79), ('27-09-2015', 78), ('04-10-2015', 77), ('11-10-2015', 78), ('18-10-2015', 77), ('25-10-2015', 77)]
iBoy	2017	1.0	27	0.0	0.0	0.333333333333	18.5	3	4.65277777778	[('06-11-2016', 0), ('13-11-2016', 0), ('20-11-2016', 0), ('27-11-2016', 0), ('04-12-2016', 0), ('11-12-2016', 0), ('18-12-2016', 0), ('25-12-2016', 0), ('01-01-2017', 1), ('08-01-2017', 9), ('15-01-2017', 6), ('22-01-2017', 31)]
Me	2016	8.0	17	82.0	84.0	85.6666666667	83.5	84	0.00623474289314	[('29-05-2016', 82), ('05-06-2016', 83), ('12-06-2016', 84), ('19-06-2016', 84), ('26-06-2016', 84), ('03-07-2016', 88), ('10-07-2016', 85), ('17-07-2016', 85), ('24-07-2016', 87), ('31-07-2016', 84), ('07-08-2016', 83), ('14-08-2016', 84)]
Proof	20042005	1.0	5	89.0	89.6666666667	89.3333333333	83.5	87	-0.0202815696458	[('16-10-2016', 89), ('23-10-2016', 88), ('30-10-2016', 88), ('06-11-2016', 86), ('13-11-2016', 95), ('20-11-2016', 85), ('27-11-2016', 91), ('04-12-2016', 90), ('11-12-2016', 87), ('18-12-2016', 80), ('25-12-2016', 83), ('01-01-2017', 84)]
Na Boca da Noite	2016	10.0	15	36.0	27.0	23.0	33.5	29	0.0171332046332	[('24-07-2016', 36), ('31-07-2016', 45), ('07-08-2016', 18), ('14-08-2016', 36), ('21-08-2016', 27), ('28-08-2016', 17), ('04-09-2016', 9), ('11-09-2016', 35), ('18-09-2016', 25), ('25-09-2016', 34), ('02-10-2016', 16), ('09-10-2016', 51)]
#7DaysLater	2013	10.0	22	0.0	7.0	0.0	49.0	11	18.375	[('04-08-2013', 0), ('11-08-2013', 0), ('18-08-2013', 0), ('25-08-2013', 21), ('01-09-2013', 0), ('08-09-2013', 20), ('15-09-2013', 0), ('22-09-2013', 0), ('29-09-2013', 0), ('06-10-2013', 0), ('13-10-2013', 0), ('20-10-2013', 98)]
#7DaysLater	2013	10.0	22	0.0	7.0	0.0	49.0	11	18.375	[('04-08-2013', 0), ('11-08-2013', 0), ('18-08-2013', 0), ('25-08-2013', 21), ('01-09-2013', 0), ('08-09-2013', 20), ('15-09-2013', 0), ('22-09-2013', 0), ('29-09-2013', 0), ('06-10-2013', 0), ('13-10-2013', 0), ('20-10-2013', 98)]
