Movie,Reaction
Gal Young Un Captain ,"{'neg': 0.05545, 'neu': 0.73065, 'pos': 0.21385, 'compound': 0.300385}"
Rollercoaster Faint Haunting Memory of Bottoms' Missing Eyes ... ,"{'neg': 0.02185714285714286, 'neu': 0.8334285714285715, 'pos': 0.14485714285714285, 'compound': 0.30674285714285715}"
Hustle ,"{'neg': 0.01916666666666667, 'neu': 0.6895000000000001, 'pos': 0.29133333333333333, 'compound': 0.36785833333333334}"
Murph the Surf ,"{'neg': 0.028000000000000004, 'neu': 0.8632, 'pos': 0.10880000000000001, 'compound': 0.08893}"
Peter Lundy and the Medicine ,"{'neg': 0.023636363636363636, 'neu': 0.849909090909091, 'pos': 0.12654545454545454, 'compound': 0.3103909090909091}"
Thursday's Game ,"{'neg': 0.04573913043478261, 'neu': 0.625304347826087, 'pos': 0.3289130434782609, 'compound': 0.3457695652173913}"
Coal Miner's Daughter ,"{'neg': 0.018766666666666664, 'neu': 0.7662, 'pos': 0.21506666666666666, 'compound': 0.3339333333333334}"
Petey ,"{'neg': 0.15368421052631578, 'neu': 0.7073684210526314, 'pos': 0.13894736842105262, 'compound': 0.02677894736842104}"
Jubilee ,"{'neg': 0.1335185185185185, 'neu': 0.7250740740740741, 'pos': 0.14133333333333334, 'compound': -0.2326666666666666}"
Pete's Dragon ,"{'neg': 0.18652380952380954, 'neu': 0.6321904761904761, 'pos': 0.13366666666666666, 'compound': -0.15893333333333334}"
Sharks' Treasure ,"{'neg': 0.0, 'neu': 0.8634000000000001, 'pos': 0.1366, 'compound': 0.16032000000000002}"
Long Journey Back ,"{'neg': 0.05993617021276596, 'neu': 0.811531914893617, 'pos': 0.128531914893617, 'compound': 0.06984255319148941}"
Lepke ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Helter Skelter ,"{'neg': 0.126, 'neu': 0.7490454545454547, 'pos': 0.12495454545454546, 'compound': 0.011586363636363638}"
Corvette Summer ,"{'neg': 0.0957, 'neu': 0.77795, 'pos': 0.12635000000000002, 'compound': 0.061939999999999995}"
Rolling Thunder ,"{'neg': 0.15000000000000005, 'neu': 0.6467142857142856, 'pos': 0.2032857142857143, 'compound': 0.14115714285714284}"
The Two Worlds of Jennie Logan ,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.47505}"
Jack Frost ,"{'neg': 0.13166666666666668, 'neu': 0.7099444444444445, 'pos': 0.15838888888888886, 'compound': 0.043611111111111114}"
Warlock Moon ,"{'neg': 0.13794117647058823, 'neu': 0.693764705882353, 'pos': 0.1683529411764706, 'compound': -0.12975294117647054}"
Hooper ,"{'neg': 0.005363636363636363, 'neu': 0.8066363636363637, 'pos': 0.188, 'compound': 0.30277272727272725}"
That's Carry On! ,"{'neg': 0.0, 'neu': 0.7085, 'pos': 0.2915, 'compound': 0.43025}"
Life of Brian ,"{'neg': 0.07200000000000001, 'neu': 0.6676666666666666, 'pos': 0.2603333333333333, 'compound': 0.29912222222222223}"
Ilsa the Tigress of Siberia ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Shadow of the Hawk ,"{'neg': 0.333, 'neu': 0.44500000000000006, 'pos': 0.222, 'compound': 0.12225}"
Le Sex Shop ,"{'neg': 0.06459999999999999, 'neu': 0.8264, 'pos': 0.10896, 'compound': 0.07308800000000001}"
Sleeping Dogs ,"{'neg': 0.07137500000000001, 'neu': 0.772375, 'pos': 0.15650000000000003, 'compound': 0.3110124999999999}"
"Cooley High ""Aww baby you make my heart BLEED for ya!""  ","{'neg': 0.17274074074074072, 'neu': 0.7026666666666667, 'pos': 0.12459259259259257, 'compound': -0.034722222222222224}"
The Pom Pom Girls ,"{'neg': 0.09039534883720929, 'neu': 0.7582325581395348, 'pos': 0.15139534883720923, 'compound': 0.1559093023255814}"
The Man in the Iron Mask ,"{'neg': 0.04173333333333333, 'neu': 0.6968, 'pos': 0.2614666666666666, 'compound': 0.3868000000000001}"
The Gumball Rally Gumball ,"{'neg': 0.0, 'neu': 0.3335, 'pos': 0.6665, 'compound': 0.5082}"
Peeper ,"{'neg': 0.055, 'neu': 0.7361249999999999, 'pos': 0.208875, 'compound': 0.181675}"
Nagin wender ,"{'neg': 0.017, 'neu': 0.526, 'pos': 0.456, 'compound': 0.9894}"
King of the Gypsies ,"{'neg': 0.06588, 'neu': 0.70004, 'pos': 0.23399999999999999, 'compound': 0.298848}"
"Nestor, the Long-Eared Christmas Donkey ","{'neg': 0.0036666666666666666, 'neu': 0.6796666666666665, 'pos': 0.3165, 'compound': 0.49715}"
Baker's Hawk ,"{'neg': 0.007125, 'neu': 0.35237500000000005, 'pos': 0.5155, 'compound': 0.4849375}"
Best Friends ,"{'neg': 0.037, 'neu': 0.81645, 'pos': 0.1465, 'compound': 0.16786500000000001}"
Sooner or Later ,"{'neg': 0.15466666666666665, 'neu': 0.6758333333333333, 'pos': 0.16949999999999998, 'compound': 0.13406666666666664}"
The Seven-Per-Cent Solution ,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.3716}"
Death Game ,"{'neg': 0.12371428571428571, 'neu': 0.7104285714285715, 'pos': 0.16585714285714287, 'compound': 0.05197142857142859}"
Wonder Woman ,"{'neg': 0.13144827586206895, 'neu': 0.6624827586206896, 'pos': 0.17155172413793102, 'compound': 0.07610689655172415}"
Pilot Pirx's Inquest ,"{'neg': 0.07614285714285715, 'neu': 0.7831428571428571, 'pos': 0.14071428571428574, 'compound': -0.052849999999999966}"
The Other Side of Midnight ,"{'neg': 0.07100000000000001, 'neu': 0.7944, 'pos': 0.13452000000000003, 'compound': 0.09744800000000002}"
Baby Blue Marine ,"{'neg': 0.03428571428571429, 'neu': 0.6829999999999999, 'pos': 0.28264285714285714, 'compound': 0.38801428571428576}"
Mr. Ricco ,"{'neg': 0.019625, 'neu': 0.902, 'pos': 0.078375, 'compound': 0.1166375}"
An Unmarried Woman ,"{'neg': 0.12325, 'neu': 0.7499375, 'pos': 0.126875, 'compound': 0.1122125}"
The Dogs of War ,"{'neg': 0.07205882352941176, 'neu': 0.7655882352941177, 'pos': 0.16241176470588234, 'compound': 0.09726470588235295}"
The Life and Times of Grizzly Adams ,"{'neg': 0.04323529411764706, 'neu': 0.7861764705882353, 'pos': 0.17058823529411765, 'compound': 0.2500823529411764}"
Murder ,"{'neg': 0.07613793103448276, 'neu': 0.7833448275862068, 'pos': 0.14044827586206896, 'compound': 0.13418275862068968}"
The Rutles ,"{'neg': 0.024499999999999997, 'neu': 0.7163333333333334, 'pos': 0.25916666666666666, 'compound': 0.3261}"
Ruby ,"{'neg': 0.08535294117647059, 'neu': 0.7636470588235292, 'pos': 0.15094117647058822, 'compound': 0.2701705882352941}"
The Savage Is Loose ,"{'neg': 0.1185, 'neu': 0.675, 'pos': 0.206625, 'compound': -0.051662500000000014}"
Grizzly ,"{'neg': 0.12176470588235293, 'neu': 0.6865882352941177, 'pos': 0.1916470588235294, 'compound': -0.007770588235294111}"
French Postcards ,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3802}"
Reflections of Murder ,"{'neg': 0.13753846153846155, 'neu': 0.6427692307692306, 'pos': 0.21961538461538457, 'compound': 0.08014615384615387}"
Attica ,"{'neg': 0.08776923076923075, 'neu': 0.8207307692307693, 'pos': 0.09146153846153846, 'compound': -0.014946153846153816}"
Lady Oscar Grandios ,"{'neg': 0.061857142857142854, 'neu': 0.537, 'pos': 0.40085714285714286, 'compound': 0.27254285714285714}"
The Killing of a Chinese Bookie ,"{'neg': 0.04592307692307692, 'neu': 0.6625384615384615, 'pos': 0.2915384615384615, 'compound': 0.3677307692307693}"
The Man Who Would Be King ,"{'neg': 0.03486842105263158, 'neu': 0.7662631578947368, 'pos': 0.1462368421052632, 'compound': 0.1691631578947368}"
The Ultimate Warrior ,"{'neg': 0.017933333333333336, 'neu': 0.5955333333333334, 'pos': 0.38653333333333334, 'compound': 0.37338666666666664}"
The Uncanny ,"{'neg': 0.12506250000000002, 'neu': 0.7001249999999999, 'pos': 0.174875, 'compound': 0.077925}"
Malibu Beach ,"{'neg': 0.06358823529411764, 'neu': 0.649470588235294, 'pos': 0.287, 'compound': 0.3387}"
Norman... Is That You? ,"{'neg': 0.697, 'neu': 0.303, 'pos': 0.0, 'compound': -0.3182}"
Van Nuys Blvd. ,"{'neg': 0.0789047619047619, 'neu': 0.8432380952380953, 'pos': 0.07785714285714286, 'compound': 0.006919047619047608}"
Eraserhead ,"{'neg': 0.051250000000000004, 'neu': 0.55975, 'pos': 0.38893750000000005, 'compound': 0.33798124999999996}"
Aces High ,"{'neg': 0.15071428571428572, 'neu': 0.6765714285714287, 'pos': 0.17271428571428574, 'compound': 0.11170000000000001}"
A Boy and His Dog ,"{'neg': 0.040741935483870964, 'neu': 0.6176451612903227, 'pos': 0.34161290322580645, 'compound': 0.3548935483870968}"
Cruising ,"{'neg': 0.14272727272727273, 'neu': 0.6521818181818183, 'pos': 0.17481818181818182, 'compound': 0.042266666666666675}"
International Velvet ,"{'neg': 0.032, 'neu': 0.6393333333333334, 'pos': 0.329, 'compound': 0.32149999999999995}"
The Killer Elite ,"{'neg': 0.0824375, 'neu': 0.6856249999999999, 'pos': 0.2319375, 'compound': 0.21139375}"
Airplane! I speak jive! ,"{'neg': 0.1681875, 'neu': 0.6266875000000001, 'pos': 0.2051875, 'compound': 0.18025}"
Steppenwolf,"{'neg': 0.08684615384615385, 'neu': 0.7391153846153848, 'pos': 0.17403846153846156, 'compound': 0.1430423076923077}"
Alien ,"{'neg': 0.09185714285714286, 'neu': 0.8087857142857142, 'pos': 0.0992857142857143, 'compound': 0.10412857142857142}"
Sixpack Annie ,"{'neg': 0.01863636363636364, 'neu': 0.8852727272727272, 'pos': 0.09618181818181816, 'compound': 0.24262727272727272}"
The Late Show ,"{'neg': 0.0485, 'neu': 0.7157894736842105, 'pos': 0.23571052631578948, 'compound': 0.2681263157894737}"
The New Daughters of Joshua Cabe ,"{'neg': 0.043000000000000003, 'neu': 0.518, 'pos': 0.439, 'compound': 0.5535666666666667}"
"'Sheba, Baby' ","{'neg': 0.011153846153846153, 'neu': 0.9293076923076924, 'pos': 0.05953846153846153, 'compound': 0.10262307692307691}"
Force ,"{'neg': 0.010333333333333333, 'neu': 0.6941666666666667, 'pos': 0.29550000000000004, 'compound': 0.4754333333333333}"
Coming Home ,"{'neg': 0.05425, 'neu': 0.7490500000000001, 'pos': 0.19669999999999999, 'compound': 0.222125}"
The Warriors ,"{'neg': 0.05644444444444444, 'neu': 0.7714444444444444, 'pos': 0.17211111111111113, 'compound': 0.30389999999999995}"
Comes a Horseman ,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.4753}"
Star Wars ,"{'neg': 0.10242105263157894, 'neu': 0.7503684210526315, 'pos': 0.14726315789473685, 'compound': 0.09659473684210527}"
The Omen ,"{'neg': 0.06394444444444443, 'neu': 0.7413888888888889, 'pos': 0.19472222222222224, 'compound': 0.17731666666666668}"
End of the World ,"{'neg': 0.32525, 'neu': 0.61025, 'pos': 0.06425, 'compound': -0.167875}"
Cleopatra Jones and the Casino of Gold Stella ,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.7579}"
Jennifer ,"{'neg': 0.09214814814814813, 'neu': 0.6214814814814815, 'pos': 0.21229629629629632, 'compound': 0.18902222222222223}"
Willie Dynamite ,"{'neg': 0.03421428571428571, 'neu': 0.9027857142857142, 'pos': 0.063, 'compound': -0.018457142857142856}"
"Roll of Thunder, Hear My Cry ","{'neg': 0.087, 'neu': 0.8686111111111111, 'pos': 0.044444444444444446, 'compound': -0.0696611111111111}"
Tracks ,"{'neg': 0.09933333333333333, 'neu': 0.7086666666666668, 'pos': 0.19195238095238093, 'compound': 0.08830000000000002}"
Outlaw Blues ,"{'neg': 0.299, 'neu': 0.701, 'pos': 0.0, 'compound': -0.4574}"
The Legend of Frank Woods ,"{'neg': 0.121, 'neu': 0.7, 'pos': 0.179, 'compound': 0.2708}"
The Last Remake of Beau Geste ,"{'neg': 0.0, 'neu': 0.8252, 'pos': 0.1748, 'compound': 0.14272}"
City in Fear ,"{'neg': 0.14575, 'neu': 0.6896000000000001, 'pos': 0.11474999999999999, 'compound': -0.109805}"
Zanna Bianca alla riscossa ,"{'neg': 0.0, 'neu': 0.9299999999999999, 'pos': 0.07, 'compound': 0.2641}"
TNT Jackson ,"{'neg': 0.068, 'neu': 0.7953333333333333, 'pos': 0.1366666666666667, 'compound': 0.3762666666666667}"
The Great Houdini ,"{'neg': 0.3785, 'neu': 0.5235, 'pos': 0.098, 'compound': 0.13785}"
Devil Dog ,"{'neg': 0.1216875, 'neu': 0.7181250000000001, 'pos': 0.16018749999999998, 'compound': 0.14651875000000003}"
James Dean ,"{'neg': 0.04117391304347826, 'neu': 0.8329130434782609, 'pos': 0.12591304347826088, 'compound': 0.26406086956521735}"
To the Devil a Daughter ,"{'neg': 0.019333333333333334, 'neu': 0.6385000000000001, 'pos': 0.17544444444444446, 'compound': 0.1491388888888889}"
Piranha ,"{'neg': 0.12877777777777777, 'neu': 0.7873333333333332, 'pos': 0.08388888888888889, 'compound': -0.09936666666666667}"
Les Miserables ,"{'neg': 0.08059090909090909, 'neu': 0.7558181818181816, 'pos': 0.1636363636363636, 'compound': 0.22094090909090908}"
Empire of the Ants ,"{'neg': 0.1701, 'neu': 0.7444000000000001, 'pos': 0.0854, 'compound': -0.14085999999999999}"
The Greek Tycoon ,"{'neg': 0.1245, 'neu': 0.714, 'pos': 0.1615, 'compound': 0.12885}"
Welcome Home Brother Charles ,"{'neg': 0.09233333333333332, 'neu': 0.6777777777777777, 'pos': 0.11877777777777777, 'compound': 0.009711111111111103}"
Here Come the Tigers ,"{'neg': 0.0, 'neu': 0.5489999999999999, 'pos': 0.451, 'compound': 0.311}"
Prophecy ,"{'neg': 0.0, 'neu': 0.7243333333333334, 'pos': 0.27566666666666667, 'compound': 0.37926666666666664}"
Banjo ,"{'neg': 0.0, 'neu': 0.7098, 'pos': 0.2902, 'compound': 0.51084}"
Summer Camp ,"{'neg': 0.2132, 'neu': 0.6104, 'pos': 0.17640000000000003, 'compound': -0.049019999999999994}"
Sholay ,"{'neg': 0.0036923076923076922, 'neu': 0.873923076923077, 'pos': 0.12238461538461538, 'compound': 0.26026153846153843}"
Curse of the Black Widow ,"{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.5719}"
The Wild McCullochs ,"{'neg': 0.1825, 'neu': 0.725, 'pos': 0.0925, 'compound': -0.21164999999999998}"
Superman ,"{'neg': 0.11995, 'neu': 0.7109000000000001, 'pos': 0.16915, 'compound': 0.046749999999999986}"
"A Man, a Woman and a Bank ","{'neg': 0.0, 'neu': 0.474, 'pos': 0.526, 'compound': 0.5568}"
MacArthur ,"{'neg': 0.1573846153846154, 'neu': 0.6202307692307693, 'pos': 0.2223076923076923, 'compound': 0.1966923076923077}"
Battered Wow! ,"{'neg': 0.0, 'neu': 0.28900000000000003, 'pos': 0.7110000000000001, 'compound': 0.3941}"
"Hey, I'm Alive ","{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.2023}"
All's Well That Ends Well ,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.38325}"
Exhibition,"{'neg': 0.288, 'neu': 0.5975714285714285, 'pos': 0.11442857142857142, 'compound': 0.010757142857142878}"
The Premonition ,"{'neg': 0.1395, 'neu': 0.8083636363636365, 'pos': 0.05218181818181819, 'compound': -0.12679090909090907}"
You're a Good ,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.4005}"
Carry on Behind ,"{'neg': 0.1045, 'neu': 0.6232857142857142, 'pos': 0.20078571428571432, 'compound': 0.29497142857142855}"
SST ,"{'neg': 0.0841875, 'neu': 0.650875, 'pos': 0.26487499999999997, 'compound': 0.26063749999999997}"
The Naked Civil Servant ,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}"
Handle with Care ,"{'neg': 0.043, 'neu': 0.863, 'pos': 0.094, 'compound': 0.23835}"
Moonshine County Express ,"{'neg': 0.0, 'neu': 0.313, 'pos': 0.687, 'compound': 0.6588}"
If Ever I See You Again ,"{'neg': 0.0856842105263158, 'neu': 0.6265526315789473, 'pos': 0.2877894736842106, 'compound': 0.28450263157894734}"
Julia ,"{'neg': 0.2561111111111111, 'neu': 0.638888888888889, 'pos': 0.10488888888888888, 'compound': -0.34717777777777775}"
Alien Attack ,"{'neg': 0.09179999999999999, 'neu': 0.7494799999999999, 'pos': 0.1588, 'compound': 0.008412000000000001}"
The Rocky Horror Picture Show ,"{'neg': 0.09807692307692308, 'neu': 0.7380512820512821, 'pos': 0.1638974358974359, 'compound': 0.15017179487179488}"
Stavisky...,"{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.2294}"
Strike Force ,"{'neg': 0.064, 'neu': 0.6536666666666666, 'pos': 0.2823333333333333, 'compound': 0.9192}"
Futureworld Amazing ,"{'neg': 0.07122727272727272, 'neu': 0.8199090909090909, 'pos': 0.1089090909090909, 'compound': 0.1141590909090909}"
Beyond the Poseidon Adventure ,"{'neg': 0.057875, 'neu': 0.8194374999999999, 'pos': 0.12275, 'compound': 0.08171874999999999}"
The Shout ,"{'neg': 0.10124137931034483, 'neu': 0.678896551724138, 'pos': 0.21982758620689655, 'compound': 0.19026206896551723}"
A Bridge Too Far ,"{'neg': 0.08353571428571428, 'neu': 0.8431428571428571, 'pos': 0.07335714285714287, 'compound': -0.007999999999999983}"
"First, You Cry ","{'neg': 0.04727272727272727, 'neu': 0.7317272727272727, 'pos': 0.22090909090909092, 'compound': 0.4956909090909092}"
Stalk the Wild Child ,"{'neg': 0.012499999999999999, 'neu': 0.8763333333333332, 'pos': 0.11116666666666668, 'compound': 0.22281666666666666}"
Star Trek ,"{'neg': 0.12915789473684214, 'neu': 0.6747368421052632, 'pos': 0.19610526315789473, 'compound': 0.055115789473684215}"
Visit to a Chief's Son  ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"The Courage of Kavik, the Wolf Dog ","{'neg': 0.025777777777777778, 'neu': 0.807111111111111, 'pos': 0.1671111111111111, 'compound': 0.20996666666666666}"
Mustang Country ,"{'neg': 0.0, 'neu': 0.9085, 'pos': 0.0915, 'compound': 0.3348}"
Starcrash And Lewis ,"{'neg': 0.10935294117647058, 'neu': 0.7492941176470589, 'pos': 0.1413529411764706, 'compound': -0.0928882352941177}"
The Year Without a Santa Claus ,"{'neg': 0.048299999999999996, 'neu': 0.6573, 'pos': 0.2942, 'compound': 0.35404}"
The Rose ,"{'neg': 0.06350000000000001, 'neu': 0.6352, 'pos': 0.3013, 'compound': 0.3213450000000001}"
A Love Affair ,"{'neg': 0.07056756756756757, 'neu': 0.7378108108108108, 'pos': 0.16456756756756757, 'compound': 0.1318027027027027}"
Cecilia ,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}"
The Black Stallion ,"{'neg': 0.034875, 'neu': 0.824125, 'pos': 0.140875, 'compound': 0.24985}"
Christmas Lilies of the Field ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Rattlers ,"{'neg': 0.538, 'neu': 0.462, 'pos': 0.0, 'compound': -0.5423}"
The Seniors ,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.4215}"
Captain America ,"{'neg': 0.1016470588235294, 'neu': 0.6956470588235294, 'pos': 0.20270588235294115, 'compound': 0.15307647058823529}"
The Last Waltz Please Robbie...,"{'neg': 0.123, 'neu': 0.7646, 'pos': 0.11240000000000001, 'compound': 0.13890000000000002}"
In This House of Brede ,"{'neg': 0.016, 'neu': 0.5204, 'pos': 0.46340000000000003, 'compound': 0.66762}"
A Wedding ,"{'neg': 0.05447058823529411, 'neu': 0.6305294117647059, 'pos': 0.256235294117647, 'compound': 0.3511588235294118}"
The Great Santini ,"{'neg': 0.072, 'neu': 0.8220000000000001, 'pos': 0.106, 'compound': 0.11363333333333335}"
Grand Theft Auto ,"{'neg': 0.11173333333333334, 'neu': 0.7334666666666667, 'pos': 0.1548, 'compound': 0.10736666666666668}"
Coach Hoe ,"{'neg': 0.0627, 'neu': 0.8911, 'pos': 0.0463, 'compound': -0.07497000000000001}"
Drum ,"{'neg': 0.10307692307692307, 'neu': 0.6488461538461539, 'pos': 0.2480769230769231, 'compound': 0.2455230769230769}"
High-Ballin' ,"{'neg': 0.008153846153846154, 'neu': 0.728923076923077, 'pos': 0.2629230769230769, 'compound': 0.3312307692307692}"
"That's Entertainment, Part II And Kathryn Grayson ","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.7003}"
Jabberwocky ,"{'neg': 0.116, 'neu': 0.384, 'pos': 0.25, 'compound': -0.057575000000000015}"
The Slipper and the Rose ,"{'neg': 0.0174, 'neu': 0.7052, 'pos': 0.2774, 'compound': 0.20142000000000002}"
Trilogy of Terror ,"{'neg': 0.1735, 'neu': 0.8005, 'pos': 0.026, 'compound': -0.29885}"
Revenge of the Pink Panther ,"{'neg': 0.26737500000000003, 'neu': 0.732625, 'pos': 0.0, 'compound': -0.164575}"
Aaron Loves Angela ,"{'neg': 0.0, 'neu': 0.5772857142857143, 'pos': 0.4227142857142857, 'compound': 0.27587142857142855}"
Bucktown Carl ,"{'neg': 0.06354347826086956, 'neu': 0.7372608695652173, 'pos': 0.17743478260869563, 'compound': 0.14831956521739134}"
Russian Roulette ,"{'neg': 0.2065, 'neu': 0.5445, 'pos': 0.2495, 'compound': 0.1884}"
El Super ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The Texas Chain Saw Massacre ,"{'neg': 0.20225, 'neu': 0.6201666666666666, 'pos': 0.1775, 'compound': -0.05761666666666667}"
"New York, New York ","{'neg': 0.07342857142857141, 'neu': 0.8209285714285713, 'pos': 0.10564285714285715, 'compound': 0.0018714285714285714}"
The Last Wave ,"{'neg': 0.10683333333333334, 'neu': 0.6043333333333333, 'pos': 0.28883333333333333, 'compound': 0.30321666666666663}"
Beyond Evil ,"{'neg': 0.12333333333333332, 'neu': 0.5882222222222222, 'pos': 0.2328888888888889, 'compound': -0.0068388888888889}"
Mandingo ,"{'neg': 0.2717, 'neu': 0.6306, 'pos': 0.09770000000000001, 'compound': -0.41059}"
The Killer Inside Me ,"{'neg': 0.104, 'neu': 0.7687826086956523, 'pos': 0.1272173913043478, 'compound': 0.014986956521739129}"
Children of Divorce ,"{'neg': 0.12311764705882355, 'neu': 0.8255294117647058, 'pos': 0.05135294117647059, 'compound': -0.05903529411764705}"
Borderline ,"{'neg': 0.5076, 'neu': 0.45499999999999996, 'pos': 0.0374, 'compound': -0.23723999999999998}"
The Children of Theatre Street ,"{'neg': 0.0, 'neu': 0.79275, 'pos': 0.20725, 'compound': 0.497325}"
The Winds of Autumn ,"{'neg': 0.11491666666666667, 'neu': 0.6376666666666667, 'pos': 0.24741666666666665, 'compound': 0.14657499999999998}"
Eyes of Laura Mars ,"{'neg': 0.013037735849056601, 'neu': 0.9011603773584905, 'pos': 0.08578301886792454, 'compound': 0.06072358490566038}"
Death Race 2000 ,"{'neg': 0.09652941176470588, 'neu': 0.7924117647058824, 'pos': 0.111, 'compound': 0.04696470588235294}"
Best Boy ,"{'neg': 0.0985, 'neu': 0.808, 'pos': 0.094, 'compound': -0.1636}"
Norma Rae ,"{'neg': 0.0765151515151515, 'neu': 0.7773636363636364, 'pos': 0.14612121212121212, 'compound': 0.14090909090909093}"
The Driver ,"{'neg': 0.09477777777777778, 'neu': 0.7748148148148148, 'pos': 0.13040740740740742, 'compound': 0.16786296296296294}"
The Changeling ,"{'neg': 0.042833333333333334, 'neu': 0.6868333333333334, 'pos': 0.2704166666666667, 'compound': 0.37165833333333337}"
Terror Out of the Sky ,"{'neg': 0.17875000000000002, 'neu': 0.65925, 'pos': 0.162, 'compound': -0.055187499999999994}"
Strangers ,"{'neg': 0.16977272727272724, 'neu': 0.7100909090909091, 'pos': 0.12022727272727272, 'compound': -0.17071363636363635}"
Amar Akbar ,"{'neg': 0.048, 'neu': 0.667, 'pos': 0.285, 'compound': 0.9824}"
Gas Pump Girls ,"{'neg': 0.062, 'neu': 0.7430000000000001, 'pos': 0.1949411764705882, 'compound': 0.20911176470588239}"
Being There ,"{'neg': 0.06113157894736842, 'neu': 0.8167368421052631, 'pos': 0.12210526315789473, 'compound': 0.14816578947368422}"
Bogie ,"{'neg': 0.021400000000000002, 'neu': 0.6896, 'pos': 0.289, 'compound': 0.57002}"
The Return of the Pink Panther ,"{'neg': 0.007000000000000001, 'neu': 0.6546000000000001, 'pos': 0.3384, 'compound': 0.40931999999999996}"
Lost and Found ,"{'neg': 0.19319999999999998, 'neu': 0.6522, 'pos': 0.15460000000000002, 'compound': 0.20792000000000002}"
Stunts Bottle ,"{'neg': 0.1492, 'neu': 0.7948000000000001, 'pos': 0.05600000000000001, 'compound': -0.12519}"
Up from the Depths ,"{'neg': 0.0, 'neu': 0.8056666666666666, 'pos': 0.19433333333333333, 'compound': 0.21230000000000002}"
Saturday Night Fever ,"{'neg': 0.10260869565217388, 'neu': 0.7207826086956521, 'pos': 0.17665217391304347, 'compound': 0.11647391304347826}"
Picnic at Hanging Rock ,"{'neg': 0.04544444444444445, 'neu': 0.8002222222222223, 'pos': 0.11722222222222221, 'compound': 0.19924444444444445}"
Spawn of the Slithis ,"{'neg': 0.028, 'neu': 0.7816666666666667, 'pos': 0.19038888888888889, 'compound': 0.2147777777777778}"
Hanging by a Thread ,"{'neg': 0.1905, 'neu': 0.422, 'pos': 0.3875, 'compound': 0.26535000000000003}"
Mrs. R's Daughter ,"{'neg': 0.14678947368421053, 'neu': 0.7850526315789473, 'pos': 0.0681578947368421, 'compound': -0.07787894736842106}"
"Obsession Interracial, Fatal Attraction ","{'neg': 0.05616666666666666, 'neu': 0.7321666666666666, 'pos': 0.21150000000000002, 'compound': 0.5331}"
Don't Answer the Phone! Cosby? ,"{'neg': 0.16975, 'neu': 0.648375, 'pos': 0.181875, 'compound': 0.050187499999999996}"
Cruise Into Terror ,"{'neg': 0.0, 'neu': 0.6586666666666666, 'pos': 0.3413333333333333, 'compound': 0.37620000000000003}"
Damnation Alley ,"{'neg': 0.0, 'neu': 0.6475000000000001, 'pos': 0.3525, 'compound': 0.36056666666666665}"
Halloween ,"{'neg': 0.355, 'neu': 0.628, 'pos': 0.01725, 'compound': -0.9037499999999999}"
The Flight of the Grey Wolf ,"{'neg': 0.0491578947368421, 'neu': 0.8169473684210526, 'pos': 0.13389473684210526, 'compound': 0.09330526315789474}"
The Drowning Pool ,"{'neg': 0.238, 'neu': 0.628, 'pos': 0.134, 'compound': -0.6079}"
Cloud Dancer ,"{'neg': 0.013956521739130435, 'neu': 0.8391739130434783, 'pos': 0.14686956521739133, 'compound': 0.26991304347826084}"
Dog Day Afternoon ,"{'neg': 0.04264285714285715, 'neu': 0.8032142857142858, 'pos': 0.15421428571428572, 'compound': 0.3821}"
The Nickel Ride ,"{'neg': 0.06913333333333332, 'neu': 0.7294666666666667, 'pos': 0.2014, 'compound': 0.18097999999999997}"
The Return of a Man Called Horse ,"{'neg': 0.0, 'neu': 0.8913333333333333, 'pos': 0.10866666666666668, 'compound': 0.17479999999999998}"
Return to Macon County ,"{'neg': 0.0, 'neu': 0.6666666666666666, 'pos': 0.0, 'compound': 0.0}"
The Glove ,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.0, 'compound': 0.0}"
Breakout ,"{'neg': 0.12345833333333332, 'neu': 0.7555416666666668, 'pos': 0.12095833333333335, 'compound': -0.01318333333333333}"
